1981-20120706-rya/wav/ru_0004,окна многоэтажных домов иные разбитые иные заколоченные досками казались нежилыми ни одна голова не выглядывала на улицу,O 0 K N A M N A G A I T A 0 Z H N Y H D A M O 0 V Y N Y 0 J I R A Z B 0 I 0 T Y J I N Y 0 J I Z A K A L O 0 C H I N Y J I D O 0 S K A M 0 I K A Z A 0 L 0 I S 0 N 0 I Z H Y L Y 0 M 0 I N 0 I A D N A 0 G A L A V A 0 N 0 I V Y G L 0 A 0 D Y V A L A N A U 0 L 0 I C U
1981-20120706-rya/wav/ru_0005,в это время перед объявлением остановился рослый широкоплечий человек без шапки по одежде солдат в рубахе без пояса в обмотках,V E 0 T A V R 0 E 0 M 0 A P 0 E 0 R 0 I T A B J I V L 0 E 0 N 0 I J I M A S T A N A V 0 I 0 L S 0 A R O 0 S L Y J S H Y R A K A P L 0 E 0 C H I J C H I L A V 0 E 0 G B 0 I S S H A 0 P K 0 I P A D 0 E 0 Z H D 0 I S A L D A 0 T V R U B A 0 H 0 I B 0 I S P O 0 J I S A V A B M O 0 T K A H
1981-20120706-rya/wav/ru_0006,глаза ленивые серо-карие и так же как у той женщины с искоркой,G L A Z A 0 L 0 I N 0 I 0 V Y J I S 0 E 0 R A K A 0 R 0 I J I T A 0 G Z H Y K A 0 K U T O 0 J Z H E 0 N S H 0 I N Y S Y 0 S K A R K A J
1981-20120706-rya/wav/ru_0008,скайльс тоже теперь прищурясь оглянул солдата вспыхнул гневно и пошёл по направлению к неве шагал уверенно и широко,S K A 0 J L 0 S T O 0 Z H Y T 0 I P 0 E 0 R 0 P R 0 I S H 0 U 0 R 0 I S 0 A G L 0 I N U 0 L S A L D A 0 T A F S P Y 0 H N U L G N 0 E 0 V N A I P A S H O 0 L P A N A P R A V L 0 E 0 N 0 I J U K N 0 I V 0 E 0 S H A G A 0 L U V 0 E 0 R 0 I N A I S H Y 0 R A K A
1981-20120706-rya/wav/ru_0009,на куче песку один во всём сквере видимо уже давно сидел маленький мальчик в грязной рубашке горошком и без штанов,N A K U 0 C H I P 0 I S K U 0 A D 0 I 0 N V A F S 0 O 0 M S K V 0 E 0 R 0 I V 0 I 0 D 0 I M A U 0 Z H Y D A V N O 0 S 0 I D 0 E 0 L M A 0 L 0 I N 0 K 0 I J M A 0 L 0 C H I K V G R 0 A 0 Z N A J R U B A 0 S H K 0 I G A R O 0 S H K A M Y B 0 I S S H T A N O 0 F
1981-20120706-rya/wav/ru_0010,в руке он держал конец верёвочки к другому концу верёвочки была привязана за ногу старая взлохмаченная ворона,V R U K 0 E 0 O 0 N 0 D 0 I R Z H A 0 L K A N 0 E 0 C V 0 I R 0 O 0 V A C H K 0 I G D R U G O 0 M U K A N C U 0 V 0 I R 0 O 0 V A C H K 0 I B Y L A 0 P R 0 I V 0 A 0 Z A N A Z A N O 0 G U S T A 0 R A J A V Z L A H M A 0 C H I N A J A V A R O 0 N A
1981-20120706-rya/wav/ru_0011,мальчик ворона пустые дома пустынные улицы странные взгляды прохожих и приколоченное гвоздиками объявление кто-то зовёт лететь из этого города в звёздную пустыню,M A 0 L 0 C H I K V O 0 R A N A P U S T Y 0 J I D A M A 0 P U S T Y 0 N Y J I U 0 L 0 I C Y S T R A 0 N Y J I V Z G L 0 A 0 D Y P R A H O 0 Z H Y H Y P R 0 I K A L O 0 C H I N A J I G V A Z 0 D 0 I 0 K A M 0 I A B J I V L 0 E 0 N 0 I J I K T O 0 T A Z A V 0 O 0 T L 0 I T 0 E 0 T 0 I Z E 0 T A V A G O 0 R A D A V Z V 0 O 0 Z N U J U P U S T Y 0 N 0 U
1981-20120706-rya/wav/ru_0012,развернул план петербурга и водя по нему концом трубки отыскал ждановскую набережную,R A Z V 0 I R N U 0 L P L A 0 N P 0 I T 0 I R B U 0 R G A I V A D 0 A 0 P A N 0 I M U 0 K A N C O 0 M T R U 0 P K 0 I A T Y S K A 0 L Z H D A 0 N A F S K U J U N A 0 B 0 I R 0 I Z H N U J U
1981-20120706-rya/wav/ru_0013,небольшая дверца в нём была приотворена на пороге сидел на корточках рабочий и размешивал в ведёрке кирпично-красный сурик,N 0 I B A L 0 S H A 0 J A D V 0 E 0 R C A V N 0 O 0 M B Y L A 0 P R 0 I A T V O 0 R 0 I N A N A P A R O 0 G 0 I S 0 I D 0 E 0 L N A K O 0 R T A C H K A H R A B O 0 C H I J I R A Z M 0 E 0 S H Y V A L V V 0 I D 0 O 0 R K 0 I K 0 I R P 0 I 0 C H N A K R A 0 S N Y J S U 0 R 0 I K
1981-20120706-vmc/wav/ru_0073,в один из глазков входил прямой ослепительный луч солнца,V A D 0 I 0 N Y Z G L A S K O 0 V F H A D 0 I 0 L P R 0 I M O 0 J A S 0 L 0 I P 0 I 0 T 0 I L 0 N Y J L U 0 C H S O 0 N C A
1981-20120706-vmc/wav/ru_0074,лось с трудом оторвался от этого зрелища живоносного огня вселенной,L O 0 S 0 S T R U D O 0 M A T A R V A 0 L S 0 A T E 0 T A V A Z R 0 E 0 L 0 I S H 0 A Z H Y V A N O 0 S N A V A G N 0 A 0 F S 0 I L 0 E 0 N A J
1981-20120706-vmc/wav/ru_0075,теперь уже ясно можно было видеть резкие длинные тени от скал они тянулись через оголённую ледяную равнину,T 0 I P 0 E 0 R 0 U 0 Z H Y J A 0 S N A M O 0 Z H N A B Y 0 L A V 0 I 0 D 0 I T 0 R 0 E 0 S K 0 I J I D 0 L 0 I 0 N Y J I T 0 E 0 N 0 I A T S K A 0 L A N 0 I 0 T 0 I N U 0 L 0 I S 0 C H I R 0 I Z A G A L 0 O 0 N U J U L 0 I D 0 I N U 0 J U R A V N 0 I 0 N U
1981-20120706-vmc/wav/ru_0076,несколько линий точек и полукружий разбросано к западу и востоку от этой экваториальной группы,N 0 E 0 S K A L 0 K A L 0 I 0 N 0 I J T O 0 C H I K Y P A L U K R U 0 Z H Y J R A Z B R O 0 S A N A G Z A 0 P A D U I V A S T O 0 K U A T E 0 T A J I K V A T A R 0 I A 0 L 0 N A J G R U 0 P Y
1981-20120706-vmc/wav/ru_0077,лось жадно вглядывался в эту сеть линий вот они сводящие с ума астрономов постоянно меняющиеся геометрически правильные непостигаемые каналы марса,L O 0 Z Z H A 0 D N A V G L 0 A 0 D Y V A L S 0 A V E 0 T U S 0 E 0 T 0 L 0 I 0 N 0 I J V O 0 T A N 0 I 0 S V A D 0 A 0 S H 0 I J I S U M A 0 A S T R A N O 0 M A F P A S T A J A 0 N A M 0 I N 0 A 0 J U S H 0 I J I S 0 A G 0 I A M 0 I T R 0 I 0 C H I S K 0 I P R A 0 V 0 I L 0 N Y J I N 0 I P A S 0 T 0 I G A 0 J I M Y J I K A N A 0 L Y M A 0 R S A
1981-20120706-vmc/wav/ru_0078,лось кинулся к реостатам попали алексей иванович притягиваемся падаем,L O 0 S 0 K 0 I 0 N U L S 0 A K R 0 I A S T A 0 T A M P A P A 0 L 0 I A L 0 I K S 0 E 0 J I V A 0 N A V 0 I C H P R 0 I T 0 A 0 G 0 I V A J I M S 0 A P A 0 D A J I M
1981-20120706-vmc/wav/ru_0079,казалось из чёрной бездны он сам теперь летел на них,K A Z A 0 L A S 0 I S C H O 0 R N A J B 0 E 0 Z N Y O 0 N S A 0 M T 0 I P 0 E 0 R 0 L 0 I T 0 E 0 L N A N 0 I 0 H
1981-20120706-vmc/wav/ru_0080,аппарат прорезывал облака над тусклой равниной и ревя и сотрясаясь медленно теперь опускался садимся успел только крикнуть лось и выключил двигатель,A P A R A 0 T P R A R 0 E 0 Z Y V A L A B L A K A 0 N A T U 0 S K L A J R A V N 0 I 0 N A J I R 0 I V 0 A 0 I S A T R 0 I S A 0 J I S 0 M 0 E 0 D 0 L 0 I N A T 0 I P 0 E 0 R 0 A P U S K A 0 L S 0 A S A 0 D 0 I M S 0 A U S P 0 E 0 L T O 0 L 0 K A K R 0 I 0 K N U T 0 L O 0 S 0 I V Y 0 K L 0 U C H I L D V 0 I 0 G A T 0 I L 0
1981-20120706-vmc/wav/ru_0081,мышь понемногу ожила подняла нос стала шевелить усами умылась,M Y 0 S H 0 P A N 0 I M N O 0 G U A Z H Y L A 0 P A D 0 N 0 I L A 0 N O 0 S T A 0 L A S H Y V 0 I L 0 I 0 T 0 U S A 0 M 0 I U M Y 0 L A S 0
1981-20120706-vmc/wav/ru_0082,покалывало грудь стучала кровь в виски но дышалось легко воздух был тонок и сух,P A K A 0 L Y V A L A G R U 0 T 0 S T U C H A 0 L A K R O 0 F 0 V V 0 I S K 0 I 0 N O 0 D Y S H A 0 L A S 0 L 0 I H K O 0 V O 0 Z D U H B Y 0 L T O 0 N A K Y S U 0 H
1981-20120706-zfp/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
1981-20120706-zfp/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
1981-20120706-zfp/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
1981-20120706-zfp/wav/ru_0087,отсюда была видна холмистая равнина того же апельсинового но более тусклого цвета,A C U 0 D A B Y L A 0 V 0 I 0 D N A H A L M 0 I 0 S T A J A R A V N 0 I 0 N A T A G O 0 Z H Y A P 0 I L 0 S 0 I 0 N A V A V A N O 0 B O 0 L 0 I J I T U 0 S K L A V A C V 0 E 0 T A
1981-20120706-zfp/wav/ru_0088,привычной хваткой расстегнул кобуру вытащил револьвер эй закричал он кто там у аппарат так вашу эдак,P R 0 I V Y 0 C H N A J H V A 0 T K A J R A S S 0 T 0 I G N U 0 L K A B U R U 0 V Y 0 T A S H 0 I L R 0 I V A L 0 V 0 E 0 R E 0 J Z A K R 0 I C H A 0 L O 0 N K T O 0 T A 0 M U A P A R A 0 T A 0 K V A 0 S H U E 0 D A K
1981-20120706-zfp/wav/ru_0089,от берега до ближайшей кущи деревьев лось и гусев шли по горелому бурому праху перепрыгивали через обсыпавшиеся неширокие каналы огибали высохшие прудики,A D B 0 E 0 R 0 I G A D A B L 0 I Z H A 0 J S H Y J K U 0 S H 0 I D 0 I R 0 E 0 V 0 J I V L O 0 S 0 I G U 0 S 0 I F S H L 0 I 0 P A G A R 0 E 0 L A M U B U 0 R A M U P R A 0 H U P 0 I R 0 I P R Y 0 G 0 I V A L 0 I C H I R 0 I Z A P S Y 0 P A F S H Y J I S 0 A N 0 I S H Y R O 0 K 0 I J I K A N A 0 L Y A G 0 I B A 0 L 0 I V Y 0 S A H S H Y J I P R U 0 D 0 I K 0 I
1981-20120706-zfp/wav/ru_0093,гусев нагнулся и пхнул ногой из-под праха покатился проломанный человеческий череп в зубах его блеснуло золото,G U 0 S 0 I V N A G N U 0 L S 0 A I P H N U 0 L N A G O 0 J I S P A T P R A 0 H A P A K A T 0 I 0 L S 0 A P R A L O 0 M A N Y J C H I L A V 0 E 0 C H I S K 0 I J C H E 0 R 0 I P V Z U B A 0 H J I G O 0 B L 0 I S N U 0 L A Z O 0 L A T A
1981-20120706-zfp/wav/ru_0094,сейчас же второй паук побежал из-за дома к деревьям поднимая коричневую пыльцу и ткнулся в колючую сеть стал биться в ней вытягивая ноги,S 0 I J C H A 0 Z Z H Y F T O 0 R A J P A U 0 K P A B 0 I Z H A 0 L Y Z A D O 0 M A G D 0 I R 0 E 0 V 0 J I M P A D 0 N 0 I M A 0 J A K A R 0 I 0 C H N 0 I V U J U P Y L 0 C U 0 I T K N U 0 L S 0 A F K A L 0 U 0 C H U J U S 0 E 0 T 0 S T A 0 L B 0 I 0 C A V N 0 E 0 J V Y T 0 A 0 G 0 I V A J A N O 0 G 0 I
1981-20120706-zfp/wav/ru_0095,в гладких стенах узкие как щели глубокие отверстия окон,V G L A 0 T K 0 I H S 0 T 0 I N A 0 H U 0 S K 0 I J I K A 0 K S H 0 E 0 L 0 I G L U B O 0 K 0 I J I A T V 0 E 0 R S 0 T 0 I J A O 0 K A N
1981-20120706-zfp/wav/ru_0099,они минули тёмный вестибюль и вошли в многоугольную высокую залу,A N 0 I 0 M 0 I N U 0 L 0 I T 0 O 0 M N Y J V 0 I S 0 T 0 I B 0 U 0 L 0 I V A S H L 0 I 0 V M N A G A U G O 0 L 0 N U J U V Y S O 0 K U J U Z A 0 L U
4ertus2-20101217-zoo/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
4ertus2-20101217-zoo/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
4ertus2-20101217-zoo/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
4ertus2-20101217-zoo/wav/ru_0087,отсюда была видна холмистая равнина того же апельсинового но более тусклого цвета,A C U 0 D A B Y L A 0 V 0 I 0 D N A H A L M 0 I 0 S T A J A R A V N 0 I 0 N A T A G O 0 Z H Y A P 0 I L 0 S 0 I 0 N A V A V A N O 0 B O 0 L 0 I J I T U 0 S K L A V A C V 0 E 0 T A
4ertus2-20101217-zoo/wav/ru_0088,привычной хваткой расстегнул кобуру вытащил револьвер эй закричал он кто там у аппарат так вашу эдак,P R 0 I V Y 0 C H N A J H V A 0 T K A J R A S S 0 T 0 I G N U 0 L K A B U R U 0 V Y 0 T A S H 0 I L R 0 I V A L 0 V 0 E 0 R E 0 J Z A K R 0 I C H A 0 L O 0 N K T O 0 T A 0 M U A P A R A 0 T A 0 K V A 0 S H U E 0 D A K
4ertus2-20101217-zoo/wav/ru_0089,от берега до ближайшей кущи деревьев лось и гусев шли по горелому бурому праху перепрыгивали через обсыпавшиеся неширокие каналы огибали высохшие прудики,A D B 0 E 0 R 0 I G A D A B L 0 I Z H A 0 J S H Y J K U 0 S H 0 I D 0 I R 0 E 0 V 0 J I V L O 0 S 0 I G U 0 S 0 I F S H L 0 I 0 P A G A R 0 E 0 L A M U B U 0 R A M U P R A 0 H U P 0 I R 0 I P R Y 0 G 0 I V A L 0 I C H I R 0 I Z A P S Y 0 P A F S H Y J I S 0 A N 0 I S H Y R O 0 K 0 I J I K A N A 0 L Y A G 0 I B A 0 L 0 I V Y 0 S A H S H Y J I P R U 0 D 0 I K 0 I
4ertus2-20101217-zoo/wav/ru_0093,гусев нагнулся и пхнул ногой из-под праха покатился проломанный человеческий череп в зубах его блеснуло золото,G U 0 S 0 I V N A G N U 0 L S 0 A I P H N U 0 L N A G O 0 J I S P A T P R A 0 H A P A K A T 0 I 0 L S 0 A P R A L O 0 M A N Y J C H I L A V 0 E 0 C H I S K 0 I J C H E 0 R 0 I P V Z U B A 0 H J I G O 0 B L 0 I S N U 0 L A Z O 0 L A T A
4ertus2-20101217-zoo/wav/ru_0094,сейчас же второй паук побежал из-за дома к деревьям поднимая коричневую пыльцу и ткнулся в колючую сеть стал биться в ней вытягивая ноги,S 0 I J C H A 0 Z Z H Y F T O 0 R A J P A U 0 K P A B 0 I Z H A 0 L Y Z A D O 0 M A G D 0 I R 0 E 0 V 0 J I M P A D 0 N 0 I M A 0 J A K A R 0 I 0 C H N 0 I V U J U P Y L 0 C U 0 I T K N U 0 L S 0 A F K A L 0 U 0 C H U J U S 0 E 0 T 0 S T A 0 L B 0 I 0 C A V N 0 E 0 J V Y T 0 A 0 G 0 I V A J A N O 0 G 0 I
4ertus2-20101217-zoo/wav/ru_0095,в гладких стенах узкие как щели глубокие отверстия окон,V G L A 0 T K 0 I H S 0 T 0 I N A 0 H U 0 S K 0 I J I K A 0 K S H 0 E 0 L 0 I G L U B O 0 K 0 I J I A T V 0 E 0 R S 0 T 0 I J A O 0 K A N
4ertus2-20101217-zoo/wav/ru_0099,они минули тёмный вестибюль и вошли в многоугольную высокую залу,A N 0 I 0 M 0 I N U 0 L 0 I T 0 O 0 M N Y J V 0 I S 0 T 0 I B 0 U 0 L 0 I V A S H L 0 I 0 V M N A G A U G O 0 L 0 N U J U V Y S O 0 K U J U Z A 0 L U
AAS-20101109-lyn/wav/ru_0001,корреспондент американской газеты арчибальд скайлс проходя мимо увидел стоявшую перед объявлением босую молодую женщину в ситцевом опрятном платье она читала шевеля губами,K A R 0 I S P A N 0 D 0 E 0 N T A M 0 I R 0 I K A 0 N S K A J G A Z 0 E 0 T Y A R 0 C H I B A 0 L 0 T S K A 0 J L S P R A H A D 0 A 0 M 0 I 0 M A U V 0 I 0 D 0 I L S T A J A 0 F S H U J U P 0 E 0 R 0 I T A B J I V L 0 E 0 N 0 I J I M B A S U 0 J U M A L A D U 0 J U Z H E 0 N S H 0 I N U F S 0 I 0 C Y V A M A P R 0 A 0 T N A M P L A 0 T 0 J I A N A 0 C H I T A 0 L A S H Y V 0 I L 0 A 0 G U 0 B A M 0 I
AAS-20101109-lyn/wav/ru_0002,она завела прядь волнистых волос за ухо подняла с тротуара корзинку с зеленью и пошла через улицу,A N A 0 Z A V 0 I L A 0 P R 0 A 0 T 0 V A L N 0 I 0 S T Y H V A L O 0 Z A U 0 H A P A D 0 N 0 I L A 0 S T R A T U A 0 R A K A R Z 0 I 0 N K U Z Z 0 E 0 L 0 I N 0 J U I P A S H L A 0 C H I R 0 I Z U 0 L 0 I C U
AAS-20101109-lyn/wav/ru_0003,со спокойным мужеством скайлс ожидал всего в этом безумном городе,S A S P A K O 0 J N Y M U 0 Z H Y S T V A M S K A 0 J L S A Z H Y D A 0 L F S 0 I G O 0 V E 0 T A M B 0 I Z U 0 M N A M G O 0 R A D 0 I
AAS-20101109-lyn/wav/ru_0004,окна многоэтажных домов иные разбитые иные заколоченные досками казались нежилыми ни одна голова не выглядывала на улицу,O 0 K N A M N A G A I T A 0 Z H N Y H D A M O 0 V Y N Y 0 J I R A Z B 0 I 0 T Y J I N Y 0 J I Z A K A L O 0 C H I N Y J I D O 0 S K A M 0 I K A Z A 0 L 0 I S 0 N 0 I Z H Y L Y 0 M 0 I N 0 I A D N A 0 G A L A V A 0 N 0 I V Y G L 0 A 0 D Y V A L A N A U 0 L 0 I C U
